nct_number,study_title,phases,study_status,enrollment,start_date,primary_completion_date,sponsor,collaborators,conditions,interventions,locations,location,institution,city,country
NCT02202772,"Intravesical Cabazitaxel, Gemcitabine, and Cisplatin (CGC) in the Treatment Urothelial Carcinoma of the Bladder",PHASE1|PHASE2,ACTIVE_NOT_RECRUITING,51.0,2014-12-01,2026-04,Guarionex J. Decastro,Sanofi,Urothelial Carcinoma of the Urinary Bladder,DRUG: Cabazitaxel|DRUG: Gemcitabine|DRUG: Cisplatin,"Columbia University Irving Medical Center - HIP, New York, New York, 10032, United States","Columbia University Irving Medical Center - HIP, New York, New York, 10032, United States",Columbia University Irving Medical Center - HIP,New York,United States
NCT03854721,A Phase 1 Study of Intravesical VAX014 for Instillation in Subjects With Non-Muscle Invasive Bladder Cancer,PHASE1,COMPLETED,6.0,2019-05-10,2023-03-01,Vaxiion Therapeutics,,Urothelial Carcinoma of the Urinary Bladder,DRUG: VAX014,"The Urology Center of Colorado, Denver, Colorado, 80211, United States|University of Iowa Hospital and Clinics, Iowa City, Iowa, 52242, United States|New Jersey Urology, LLC., Edison, New Jersey, 08837, United States|Carolina Urologic Research Center, Myrtle Beach, South Carolina, 29572, United States|Baylor College of Medicine, Houston, Texas, 77030, United States","The Urology Center of Colorado, Denver, Colorado, 80211, United States|University of Iowa Hospital and Clinics, Iowa City, Iowa, 52242, United States|New Jersey Urology, LLC., Edison, New Jersey, 08837, United States|Carolina Urologic Research Center, Myrtle Beach, South Carolina, 29572, United States|Baylor College of Medicine, Houston, Texas, 77030, United States",The Urology Center of Colorado,Denver,United States
NCT00706641,Neoadjuvant Dasatinib and Radical Cystectomy for Transitional Cell Carcinoma of the Bladder,,COMPLETED,25.0,2008-06,2012-12,Hoosier Cancer Research Network,Bristol-Myers Squibb,Transitional Cell Carcinoma of the Bladder,DRUG: Dasatinib|PROCEDURE: Radical Cystectomy,"Indiana University Simon Cancer Center, Indianapolis, Indiana, 46202, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States","Indiana University Simon Cancer Center, Indianapolis, Indiana, 46202, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States",Indiana University Simon Cancer Center,Indianapolis,United States
NCT02710734,Risk Enabled Therapy After Initiating Neoadjuvant Chemotherapy for Bladder Cancer (RETAIN),PHASE2,ACTIVE_NOT_RECRUITING,78.0,2016-02-24,2027-02,Fox Chase Cancer Center,,Urothelial Carcinoma of the Bladder,DRUG: Methotrexate|DRUG: Vinblastine|DRUG: Doxorubicin|DRUG: Cisplatin|RADIATION: Intensity modulated radiation therapy (IMRT)|PROCEDURE: Transurethral Resection of Bladder tumor|DRUG: 5-FU|DRUG: Mitomycin C,"Washington Cancer Institute at MedStar Washington Hospital Center, Washington, District of Columbia, 20010, United States|Johns Hopkins, Baltimore, Maryland, 21287, United States|Sidney kimmel Cancer Center, Philadelphia, Pennsylvania, 19107, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States","Washington Cancer Institute at MedStar Washington Hospital Center, Washington, District of Columbia, 20010, United States|Johns Hopkins, Baltimore, Maryland, 21287, United States|Sidney kimmel Cancer Center, Philadelphia, Pennsylvania, 19107, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States",Washington Cancer Institute at MedStar Washington Hospital Center,Washington,United States
NCT02968732,Cystoscopic Evaluation Predicting pT0 Urothelial Carcinoma of the Bladder,,ACTIVE_NOT_RECRUITING,65.0,2016-11-11,2019-08-19,Fox Chase Cancer Center,Temple University,Urothelial Carcinoma,PROCEDURE: Radical Cystectomy,"Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States","Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States",Fox Chase Cancer Center,Philadelphia,United States
NCT01520038,Adjuvant Proton Therapy or IMRT for the Treatment of Bladder Cancer,PHASE1|PHASE2,COMPLETED,2.0,2012-01,2013-12,Abramson Cancer Center at Penn Medicine,,Urothelial Carcinoma of the Bladder,RADIATION: Proton therapy|RADIATION: IMRT,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States",Abramson Cancer Center of the University of Pennsylvania,Philadelphia,United States
NCT02246738,Initial Evaluation of a Telomerase-based Circulating Tumor Cell Assay in Bladder Cancer Cohorts,,COMPLETED,87.0,2014-08,2018-08,Abramson Cancer Center at Penn Medicine,,Urothelial Carcinoma of the Bladder,OTHER: Blood Collection,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States",Abramson Cancer Center of the University of Pennsylvania,Philadelphia,United States
NCT02311101,Phase I Mitomycin Combined With Bacillus Calmette-Guérin (BCG) for Bladder Cancer,PHASE1,COMPLETED,18.0,2012-03,2015-04,The University of Texas Health Science Center at San Antonio,,Urinary Bladder Neoplasm,DRUG: Mitomycin C,"The University of Texas Health Science Center, San Antonio, Texas, 78229, United States","The University of Texas Health Science Center, San Antonio, Texas, 78229, United States",The University of Texas Health Science Center,San Antonio,United States
NCT03517995,"Randomized, Phase II Clinical Trial of Sulforaphane in Bladder Cancer Chemoprevention",PHASE2,WITHDRAWN,0.0,2020-04,2021-12,H. Lee Moffitt Cancer Center and Research Institute,National Institutes of Health (NIH)|Johns Hopkins University,Bladder Cancer|Bladder Tumor|Urothelial Carcinoma,DRUG: Sulforaphane Administration|OTHER: Placebo Administration|PROCEDURE: Standard of Care Surgery,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, 33612, United States|James A. Haley Veteran's Administration Hospital, Tampa, Florida, 33612, United States","H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, 33612, United States|James A. Haley Veteran's Administration Hospital, Tampa, Florida, 33612, United States",H. Lee Moffitt Cancer Center and Research Institute,Tampa,United States
NCT06331299,A Phase 3 Study of UGN-103 for Treatment of Patients With Low-grade Intermediate-risk Non-muscle Invasive Bladder Cancer,PHASE3,RECRUITING,92.0,2024-08-29,2025-08,UroGen Pharma Ltd.,,Bladder Cancer|Urothelial Carcinoma|Urothelial Carcinoma Bladder,DRUG: UGN-103,"Genesis Research, LLC, San Diego, California, 92123, United States|Peachtree Clinical Solutions, Powder Springs, Georgia, 30127, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, 46202, United States|Garden State Urology, Morristown, New Jersey, 07962, United States|Great Lakes Physician dba WNYU, Cheektowaga, New York, 14225, United States|AccuMed Research Associates, Garden City, New York, 11530, United States|Crystal Run Healthcare, Middletown, New York, 10941, United States|Laura and Isaac Perlmutter Cancer Center at NYU Langone, New York, New York, 10016, United States|Perlmutter Cancer Center at NYU Langone Hospital - Long Island, New York, New York, 11501, United States|Carolina Urologic Research Center, Myrtle Beach, South Carolina, 29572, United States|Urology Associates P.C. - Nashville, Nashville, Tennessee, 37209-4035, United States|Houston Metro Urology (HMU) - Southwest Location, Houston, Texas, 77027, United States|Houston Methodist Hospital, Houston, Texas, 77030, United States|Spokane Urology, P.S., Spokane, Washington, 99202, United States","Genesis Research, LLC, San Diego, California, 92123, United States|Peachtree Clinical Solutions, Powder Springs, Georgia, 30127, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, 46202, United States|Garden State Urology, Morristown, New Jersey, 07962, United States|Great Lakes Physician dba WNYU, Cheektowaga, New York, 14225, United States|AccuMed Research Associates, Garden City, New York, 11530, United States|Crystal Run Healthcare, Middletown, New York, 10941, United States|Laura and Isaac Perlmutter Cancer Center at NYU Langone, New York, New York, 10016, United States|Perlmutter Cancer Center at NYU Langone Hospital - Long Island, New York, New York, 11501, United States|Carolina Urologic Research Center, Myrtle Beach, South Carolina, 29572, United States|Urology Associates P.C. - Nashville, Nashville, Tennessee, 37209-4035, United States|Houston Metro Urology (HMU) - Southwest Location, Houston, Texas, 77027, United States|Houston Methodist Hospital, Houston, Texas, 77030, United States|Spokane Urology, P.S., Spokane, Washington, 99202, United States",Genesis Research,LLC,United States
